x, y
0.4096561814191661, 35.782463928967815
0.5735186539868325, 44.12874583795782
0.8193123628383322, 56.55937846836848
1.2114118507681053, 69.87791342952275
1.6035113386978785, 79.82241953385127
2.0307242136064376, 86.74805771365149
2.41697147037308, 91.36514983351832
2.8090709583028532, 94.82796892341842
3.218727139722019, 97.31409544950056
3.610826627651792, 99.44506104328524
5.512801755669349, 106.54827968923418
6.841258229700073, 110.98779134295228
8.070226773957572, 114.09544950055493
10.569129480614485, 119.68923418423974
11.722019019751281, 122.44173140954494
12.950987564008779, 125.19422863485016
14.220921726408193, 128.03551609322975
15.385515727871251, 130.87680355160933
