x, y
0.4096561814191661, 23.618201997780243
0.6144842721287491, 32.67480577136515
0.8017556693489393, 41.02108768035516
1.0885149963423555, 49.367369589345174
1.2933430870519387, 53.7180910099889
1.5976591075347477, 59.31187569367369
1.9663496708119972, 62.77469478357381
2.399414776883687, 64.90566037735849
2.908558888076079, 65.52719200887903
3.4001463057790784, 64.6392896781354
3.956108266276518, 62.77469478357381
4.506217995610827, 60.288568257491676
5.284564740307243, 56.55937846836848
6.1038771031455745, 52.83018867924528
7.174835405998537, 48.47946725860155
8.257498171177762, 44.483906770255274
9.29919531821507, 41.64261931187569
10.305779078273591, 39.15649278579356
11.22457937088515, 37.29189789123196
12.272128749085589, 35.42730299667036
13.255303584491587, 33.917869034406216
14.56620336503292, 32.3196448390677
15.385515727871251, 31.342952275249722
